"gameid","period","possessionnumber","eventnum","x","y","value","playerid","made","time","margin","shotquality","blocked","blockplayerid","assisted","assistplayerid","putback","shottype","oreboundedshoteventnum","oreboundedrebeventnum","lineupid","opplineupid","and1","wide_open","pass_from_x","pass_from_y","pass_from_player_id","catch_and_shoot","seconds_remaining_on_shot_clock"
"0021900139",2,12,208,45,273,3,203584,True,562,-2,NULL,NULL,0,True,2544,False,"Arc3",NULL,NULL,"1627936-1628398-203584-2544-2730","1626178-1627832-1628449-1629744-201188",False,"false","-83","270","2544","true","18"
"0021900139",1,3,11,-200,145,3,202340,True,684,0,NULL,NULL,0,True,2544,False,"Arc3",NULL,NULL,"201580-201980-202340-203076-2544","1626181-1627783-1627832-1628384-201188",False,"true","31","230","2544","true","16"
"0021900304",1,34,89,-209,120,3,201980,False,237,5,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"201580-201980-203076-203484-2544","1627750-200794-203115-203914-203999",False,"false","-62","180","2544","true","19"
"0021900304",2,15,207,-222,-4,3,201980,False,459,2,NULL,False,0,NULL,0,False,"Corner3",NULL,NULL,"1627936-1628398-201980-2544-2730","1627736-1628420-203115-203486-203924",False,"false","-75","140","2544","true","11"
"0021900304",4,20,581,156,180,3,201980,False,389,6,NULL,True,1627750,NULL,0,False,"Arc3",NULL,NULL,"201980-203076-203484-2544-2730","1627750-200794-203115-203914-203999",False,"false","-55","290","2544","true","12"
"0021900314",1,3,13,-68,245,3,201980,False,685,-3,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"201580-201980-203076-203484-2544","1628378-201145-202711-203497-204060",False,"false","-248","230","2544","true","15"
"0021900314",1,5,18,237,21,3,201980,True,648,-6,NULL,NULL,0,True,2544,False,"Corner3",NULL,NULL,"201580-201980-203076-203484-2544","1628378-201145-202711-203497-204060",False,"false","52","30","2544","true","4"
"0021900314",2,4,186,-178,194,3,200765,True,659,8,NULL,NULL,0,True,2544,False,"Arc3",NULL,NULL,"1627936-1628398-200765-2544-2730","1626144-1627777-201145-203497-204060",False,"false","76","150","2544","true","4"
"0021900314",3,8,400,-58,249,3,203484,False,599,13,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"201580-201980-203076-203484-2544","1628378-201145-202711-203497-204060",False,"false","107","260","2544","true","13"
"0021900329",1,10,28,-199,141,3,201980,False,567,0,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"201580-201980-203076-203484-2544","202355-203081-203468-203918-2546",False,"false","105","220","2544","true","19"
