gameid,period,possessionnumber,eventnum,x,y,value,playerid,made,time,margin,blocked,blockplayerid,assisted,assistplayerid,putback,shottype,oreboundedshoteventnum,oreboundedrebeventnum,lineupid,opplineupid,and1,offense_team_id,defense_team_id,possession_start_type,possession_start_time,closest_def_dist,shot_clock,touch_time,dribble_range,video_url,player,date,team,opponent,assist_player,block_player
0021900001,1,1,7,2.0,114.0,2,1628366,False,708.0,0,False,0,,0,False,ShortMidRange,,,1627742-1628366-200755-201950-202324,1627783-1627832-1628384-200768-201188,False,1610612740,1610612761,OffDeadball,720.0,0-2 Feet - Very Tight,15-7 Average,Touch 2-6 Seconds,3-6 Dribbles,https://videos.nba.com/nba/pbp/media/2019/10/22/0021900001/7/c04616a9-ce51-dc22-f129-c34f854f30d8_960x540.mp4,Lonzo Ball,2019-10-22,NOP,TOR,,
0021900001,1,1,9,0.0,-6.0,2,202324,True,707.0,0,,0,False,0,True,AtRim,7,8,1627742-1628366-200755-201950-202324,1627783-1627832-1628384-200768-201188,False,1610612740,1610612761,OffDeadball,720.0,2-4 Feet - Tight,24-22,Touch < 2 Seconds,0 Dribbles,https://videos.nba.com/nba/pbp/media/2019/10/22/0021900001/9/ecfb88a0-5230-435b-86bd-3428556cb9fc_960x540.mp4,Derrick Favors,2019-10-22,NOP,TOR,,
0021900001,1,3,12,81.0,-1.0,2,201950,False,676.0,2,False,0,,0,False,ShortMidRange,,,1627742-1628366-200755-201950-202324,1627783-1627832-1628384-200768-201188,False,1610612740,1610612761,OffAtRimMiss,685.0,2-4 Feet - Tight,18-15 Early,Touch 6+ Seconds,7+ Dribbles,https://videos.nba.com/nba/pbp/media/2019/10/22/0021900001/12/861db854-25ee-688b-2b0a-6345b876dfd4_960x540.mp4,Jrue Holiday,2019-10-22,NOP,TOR,,
0021900001,1,5,16,18.0,119.0,2,202324,False,660.0,2,False,0,,0,False,ShortMidRange,,,1627742-1628366-200755-201950-202324,1627783-1627832-1628384-200768-201188,False,1610612740,1610612761,OffArc3Miss,668.0,6+ Feet - Wide Open,18-15 Early,Touch < 2 Seconds,0 Dribbles,https://videos.nba.com/nba/pbp/media/2019/10/22/0021900001/16/bf1f2372-65df-87e5-ffad-78afd9732417_960x540.mp4,Derrick Favors,2019-10-22,NOP,TOR,,
0021900001,1,7,23,126.0,100.0,2,1627742,True,637.0,1,,0,False,0,False,LongMidRange,,,1627742-1628366-200755-201950-202324,1627783-1627832-1628384-200768-201188,False,1610612740,1610612761,OffFTMiss,651.0,2-4 Feet - Tight,15-7 Average,Touch 6+ Seconds,2 Dribbles,https://videos.nba.com/nba/pbp/media/2019/10/22/0021900001/23/21512cd4-251a-5e28-cfc8-01787312a8e5_960x540.mp4,Brandon Ingram,2019-10-22,NOP,TOR,,
0021900001,1,9,27,-209.0,131.0,3,1628366,True,611.0,0,,0,True,1627742,False,Arc3,,,1627742-1628366-200755-201950-202324,1627783-1627832-1628384-200768-201188,False,1610612740,1610612761,OffArc3Make,617.0,4-6 Feet - Open,22-18 Very Early,Touch < 2 Seconds,0 Dribbles,https://videos.nba.com/nba/pbp/media/2019/10/22/0021900001/27/49ba10d4-d598-754d-fce7-0cef66a0aa2a_960x540.mp4,Lonzo Ball,2019-10-22,NOP,TOR,Brandon Ingram,
0021900001,1,11,32,5.0,258.0,3,201950,False,595.0,3,False,0,,0,False,Arc3,,,1627742-1628366-200755-201950-202324,1627783-1627832-1628384-200768-201188,False,1610612740,1610612761,OffDeadball,604.0,6+ Feet - Wide Open,18-15 Early,Touch 2-6 Seconds,2 Dribbles,https://videos.nba.com/nba/pbp/media/2019/10/22/0021900001/32/d8d22e45-f3d2-7f9a-408f-142e878026f0_960x540.mp4,Jrue Holiday,2019-10-22,NOP,TOR,,
0021900001,1,13,35,-223.0,-12.0,3,1627742,True,579.0,3,,0,True,201950,False,Corner3,,,1627742-1628366-200755-201950-202324,1627783-1627832-1628384-200768-201188,False,1610612740,1610612761,OffDeadball,589.0,2-4 Feet - Tight,18-15 Early,Touch < 2 Seconds,0 Dribbles,https://videos.nba.com/nba/pbp/media/2019/10/22/0021900001/35/8178eff8-18b2-82fd-be8a-0c44f2c92a93_960x540.mp4,Brandon Ingram,2019-10-22,NOP,TOR,Jrue Holiday,
0021900001,1,15,39,65.0,127.0,2,1627742,False,556.0,6,False,0,,0,False,LongMidRange,,,1627742-1628366-200755-201950-202324,1627783-1627832-1628384-200768-201188,False,1610612740,1610612761,OffCorner3Miss,564.0,4-6 Feet - Open,18-15 Early,Touch 6+ Seconds,7+ Dribbles,https://videos.nba.com/nba/pbp/media/2019/10/22/0021900001/39/14400925-fac5-a761-456c-25d7f5aaca00_960x540.mp4,Brandon Ingram,2019-10-22,NOP,TOR,,
0021900001,1,17,43,226.0,122.0,3,200755,True,542.0,6,,0,True,1628366,False,Arc3,,,1627742-1628366-200755-201950-202324,1627783-1627832-1628384-200768-201188,False,1610612740,1610612761,OffLiveBallTurnover,547.0,4-6 Feet - Open,22-18 Very Early,Touch 2-6 Seconds,1 Dribble,https://videos.nba.com/nba/pbp/media/2019/10/22/0021900001/43/e4268c69-addd-07ac-b886-4dcc851553c9_960x540.mp4,JJ Redick,2019-10-22,NOP,TOR,Lonzo Ball,
0021900001,1,19,47,-150.0,110.0,2,200755,True,514.0,9,,0,True,201950,False,LongMidRange,,,1627742-1628366-200755-201950-202324,1627783-1627832-1628384-200768-201188,False,1610612740,1610612761,OffDeadball,528.0,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,1 Dribble,https://videos.nba.com/nba/pbp/media/2019/10/22/0021900001/47/10d3e5f3-1871-69e3-df10-e52631d1b6ce_960x540.mp4,JJ Redick,2019-10-22,NOP,TOR,Jrue Holiday,
0021900001,1,23,53,18.0,17.0,2,202324,True,477.0,9,,0,True,1628366,False,AtRim,,,1627742-1628366-200755-201950-202324,1627783-1627832-1628384-200768-201188,False,1610612740,1610612761,OffArc3Miss,487.0,0-2 Feet - Very Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,https://videos.nba.com/nba/pbp/media/2019/10/22/0021900001/53/89cc8696-fd6e-fe7f-4770-5cca50509f9f_960x540.mp4,Derrick Favors,2019-10-22,NOP,TOR,Lonzo Ball,
0021900001,1,25,57,122.0,221.0,3,1628366,False,437.0,8,False,0,,0,False,Arc3,,,1627742-1628366-200755-201950-202324,1627783-1627832-1628384-200768-201188,False,1610612740,1610612761,OffArc3Make,452.0,4-6 Feet - Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,https://videos.nba.com/nba/pbp/media/2019/10/22/0021900001/57/0f38a86a-7b8c-ceba-5221-a0e4bbac7d92_960x540.mp4,Lonzo Ball,2019-10-22,NOP,TOR,,
